序号,学校代码,学校名称
985,北京,清华大学
985,北京,北京大学
985,北京,中国人民大学
985,北京,北京理工大学
985,北京,北京航空航天大学
985,北京,中央民族大学
985,北京,北京师范大学
985,北京,中国农业大学
985,天津,天津大学
985,天津,南开大学
985,上海,复旦大学
985,上海,上海交通大学
985,上海,同济大学
985,上海,华东师范大学
985,重庆,重庆大学
985,四川,四川大学
985,四川,电子科技大学
985,湖南,湖南大学
985,湖南,国防科技大学
985,湖南,中南大学
985,福建,厦门大学
985,安徽,中国科学技术大学
985,江苏,南京大学
985,江苏,东南大学
985,黑龙江,哈尔滨工业大学
985,浙江,浙江大学
985,陕西,西安交通大学
985,陕西,西北农林科技大学
985,陕西,西北工业大学
985,湖北,华中科技大学
985,湖北,武汉大学
985,山东,中国海洋大学
985,山东,山东大学
985,吉林,吉林大学
985,辽宁,大连理工大学
985,辽宁,东北大学
985,广东,华南理工大学
985,广东,中山大学
985,甘肃,兰州大学
211,北京,北京交通大学
211,北京,北京工业大学
211,北京,北京科技大学
211,北京,北京化工大学
211,北京,北京邮电大学
211,北京,北京林业大学
211,北京,中国传媒大学
211,北京,中央音乐学院
211,北京,对外经济贸易大学
211,北京,北京中医药大学
211,北京,北京外国语大学
211,北京,中国地质大学（北京）
211,北京,中国矿业大学（北京）
211,北京,中国石油大学（北京）
211,北京,中国政法大学
211,北京,中央财经大学
211,北京,华北电力大学
211,北京,北京体育大学
211,天津,天津医科大学
211,天津,河北工业大学
211,上海,上海外国语大学
211,上海,上海大学
211,上海,东华大学
211,上海,上海财经大学
211,上海,华东理工大学
211,上海,第二军医大学
211,重庆,西南大学
211,河北,华北电力大学（保定）
211,山西,太原理工大学
211,内蒙古,内蒙古大学
211,辽宁,辽宁大学
211,辽宁,大连海事大学
211,吉林,东北师范大学
211,吉林,延边大学
211,黑龙江,哈尔滨工程大学
211,黑龙江,东北农业大学
211,黑龙江,东北林业大学
211,江苏,苏州大学
211,江苏,南京师范大学
211,江苏,中国矿业大学
211,江苏,中国药科大学
211,江苏,河海大学
211,江苏,南京理工大学
211,江苏,江南大学
211,江苏,南京农业大学
211,江苏,南京航空航天大学
211,安徽,安徽大学
211,安徽,合肥工业大学
211,福建,福州大学
211,江西,南昌大学
211,山东,中国石油大学
211,河南,郑州大学
211,湖北,武汉理工大学
211,湖北,中南财经政法大学
211,湖北,华中师范大学
211,湖北,华中农业大学
211,湖北,中国地质大学（武汉）
211,湖南,湖南师范大学
211,广东,暨南大学
211,广东,华南师范大学
211,广西,广西大学
211,四川,西南交通大学
211,四川,西南财经大学
211,四川,四川农业大学
211,云南,云南大学
211,贵州,贵州大学
211,陕西,西北大学
211,陕西,长安大学
211,陕西,陕西师范大学
211,陕西,西安电子科技大学
211,陕西,第四军医大学
211,海南,海南大学
211,宁夏,宁夏大学
211,青海,青海大学
211,西藏,西藏大学
211,新疆,新疆大学
211,新疆,石河子大学
A-,90005,解放军信息工程大学
B+,10336,杭州电子科技大学
B+,10617,重庆邮电大学
B+,90006,解放军理工大学
B,10299,江苏大学
B,10300,南京信息工程大学
B,10337,浙江工业大学
B,10491,中国地质大学
B,10590,深圳大学
B,90059,火箭军工程大学
B,10060,天津理工大学
B,10108,山西大学
B,10186,长春理工大学
B,10214,哈尔滨理工大学
B,10216,燕山大学
B-,10009,北方工业大学
B-,10028,首都师范大学
B-,10058,天津工业大学
B-,10143,沈阳航空航天大学
B-,10293,南京邮电大学
B-,10353,浙江工商大学
B-,10424,山东科技大学
B-,10427,济南大学
B-,10595,桂林电子科技大学
B-,10746,青海师范大学
B-,90045,空军工程大学
C+,10032,北京语言大学
C+,10059,中国民航大学
C+,10075,河北大学
C+,10153,沈阳建筑大学
C+,10165,辽宁师范大学
C+,10252,上海理工大学
C+,10264,上海海洋大学
C+,10292,常州大学
C+,10338,浙江理工大学
C+,10345,浙江师范大学
C+,10351,温州大学
C+,10394,福建师范大学
C+,10488,武汉科技大学
C+,10534,湖南科技大学
C+,10602,广西师范大学
C+,10621,成都信息工程大学
C+,10674,昆明理工大学
C+,11065,青岛大学
C+,11664,西安邮电大学
C,10011,北京工商大学
C,10076,河北工程大学
C,10107,石家庄铁道大学
C,10110,中北大学
C,10188,东北电力大学
C,10190,长春工业大学
C,10270,上海师范大学
C,10360,安徽工业大学
C,10414,江西师范大学
C,10456,山东财经大学
C,10460,河南理工大学
C,10462,郑州轻工业学院
C,10530,湘潭大学
C,10564,华南农业大学
C,10700,西安理工大学
C,10702,西安工业大学
C,11075,三峡大学
C,11117,扬州大学
C,11258,大连大学
C,11845,广东工业大学
C-,10421,江西财经大学
C-,10463,河南工业大学
C-,10475,河南大学
C-,10476,河南师范大学
C-,10490,武汉工程大学
C-,10495,武汉纺织大学
C-,10500,湖北工业大学
C-,10536,长沙理工大学
C-,10596,桂林理工大学
C-,10615,西南石油大学
C-,10618,重庆交通大学
C-,10623,西华大学
C-,10705,西安石油大学
C-,11232,北京信息科技大学
C-,11535,湖南工业大学
C-,90039,海军航空工程学院
C-,10144,沈阳理工大学
C-,10212,黑龙江大学
C-,10254,上海海事大学
C-,10289,江苏科技大学
C-,10385,华侨大学
C-,10405,东华理工大学
C-,10407,江西理工大学
